Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:";
1612281055.8394783,1557,-1.5868053436279297;;;;;;
1612281057.9278944,1563,-1.3024656772613525;;;;;;
1612281057.9278944,1567,-1.3081183433532715;;;;;;
1612281066.9406424,1603,-2.8358542919158936;;;;;;
1612281066.9406424,1606,-2.519256830215454;;;;;;
1612281066.9406424,1608,-1.651599407196045;;;;;;
1612281068.5573559,1616,-1.206532597541809;;;;;;
1612281068.5573559,1619,-3.1618309020996094;;;;;;
1612281070.3216343,1627,-1.407475471496582;;;;;;
1612281072.6830282,1631,-3.4481446743011475;;;;;;
1612281072.6830282,1634,-1.5828797817230225;;;;;;
1612281074.5510266,1640,-1.1302082538604736;;;;;;
1612281074.5510266,1643,-1.4825564622879028;;;;;;
1612281074.5510266,1645,-1.6784828901290894;;;;;;
1612281074.5510266,1649,-1.1637134552001953;;;;;;
1612281076.749197,1656,-1.2576262950897217;;;;;;
1612281078.9777656,1664,-1.583658218383789;;;;;;
1612281081.0772629,1678,-1.153724193572998;;;;;;
1612281083.3307865,1680,-1.3164823055267334;;;;;;
1612281083.3307865,1682,-1.8729100227355957;;;;;;
1612281083.3307865,1684,-1.1582369804382324;;;;;;
1612281083.3307865,1687,-1.1782543659210205;;;;;;
1612281086.153125,1692,-1.3378376960754395;;;;;;
1612281086.153125,1696,-0.9973551034927368;;;;;;
1612281089.4398937,1702,-1.6146352291107178;;;;;;
1612281089.4398937,1704,-1.637474536895752;;;;;;
1612281089.4398937,1705,-2.517850637435913;;;;;;
1612281089.4398937,1707,-1.5404702425003052;;;;;;
1612281094.3870795,1720,-2.474907636642456;;;;;;
1612281094.3870795,1722,-1.1769447326660156;;;;;;
1612281094.3880765,1727,-1.5732722282409668;;;;;;
1612281098.7514687,1740,-1.2295140027999878;;;;;;
1612281098.7514687,1745,-2.4392623901367188;;;;;;
1612281104.177436,1760,-1.658933401107788;;;;;;
1612281104.177436,1761,-2.442748785018921;;;;;;
1612281104.177436,1764,-2.4348206520080566;;;;;;
1612281104.177436,1766,-1.1002469062805176;;;;;;
1612281104.177436,1768,-1.242490530014038;;;;;;
1612281106.2753565,1773,-2.489886522293091;;;;;;
1612281106.2753565,1775,-1.3435380458831787;;;;;;
1612281106.2753565,1779,-2.9133946895599365;;;;;;
1612281108.5151887,1783,-1.347937822341919;;;;;;
1612281110.6894922,1792,-1.2550818920135498;;;;;;
1612281110.6894922,1794,-1.2140461206436157;;;;;;
1612281112.8365297,1802,-1.0706520080566406;;;;;;
1612281112.8365297,1804,-1.00840425491333;;;;;;
1612281112.8365297,1805,-2.484160900115967;;;;;;
1612281112.8365297,1807,-1.291516661643982;;;;;;
1612281115.4996185,1813,-1.3750383853912354;;;;;;
1612281115.4996185,1815,-1.6641266345977783;;;;;;
1612281115.4996185,1817,-1.1558024883270264;;;;;;
1612281117.4015343,1822,-1.869171380996704;;;;;;
1612281117.4015343,1823,-2.4833221435546875;;;;;;
1612281119.391217,1837,-2.8200159072875977;;;;;;
1612281121.5334618,1845,-1.2469947338104248;;;;;;
1612281121.534456,1849,-1.609686017036438;;;;;;
1612281124.0555425,1853,-1.2217442989349365;;;;;;
1612281124.0555425,1855,-1.6093192100524902;;;;;;
1612281125.8008733,1860,-1.6315906047821045;;;;;;
1612281125.8008733,1868,-1.1778550148010254;;;;;;
1612281127.8544745,1870,-0.9838200211524963;;;;;;
1612281127.8544745,1871,-2.489943265914917;;;;;;
1612281127.8544745,1877,-3.309095859527588;;;;;;
1612281133.036578,1892,-1.503330945968628;;;;;;
1612281133.036578,1896,-1.6103628873825073;;;;;;
1612281135.303395,1903,-2.4904754161834717;;;;;;
1612281135.303395,1905,-1.2187421321868896;;;;;;
1612281135.303395,1909,-2.4352266788482666;;;;;;
1612281137.4670272,1913,-1.7732614278793335;;;;;;
1612281137.4670272,1917,-1.1359398365020752;;;;;;
