Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612198153.9329374,1516,-3.2215940952301025;;;;;
1612198161.7315662,1547,-2.4429574012756348;;;;;
1612198162.1292992,1549,-2.5519394874572754;;;;;
1612198162.6323683,1551,-1.1464366912841797;;;;;
1612198164.1964245,1556,-2.428269386291504;;;;;
1612198165.3210886,1560,-1.0109024047851562;;;;;
1612198166.9432595,1566,-2.4006118774414062;;;;;
1612198167.4565656,1569,-2.3927018642425537;;;;;
1612198168.4330444,1573,-1.573786735534668;;;;;
1612198170.1469378,1578,-2.4921798706054688;;;;;
1612198171.277372,1582,-1.3140047788619995;;;;;
1612198171.6911476,1584,-1.3926794528961182;;;;;
1612198172.405841,1588,-1.0124834775924683;;;;;
1612198173.967333,1595,-2.5244762897491455;;;;;
1612198175.7934203,1603,-1.2287371158599854;;;;;
1612198178.5610225,1617,-1.078193187713623;;;;;
1612198179.0289052,1619,-0.9573755264282227;;;;;
1612198179.5003169,1621,-3.643601417541504;;;;;
1612198180.1286626,1623,-1.6650038957595825;;;;;
1612198181.3202302,1627,-1.646127462387085;;;;;
1612198182.5579176,1633,-1.1943084001541138;;;;;
1612198183.598129,1637,-1.7434508800506592;;;;;
1612198184.7301064,1643,-1.1129930019378662;;;;;
1612198185.1988509,1645,-1.1886601448059082;;;;;
1612198185.6646523,1647,-1.5016577243804932;;;;;
1612198185.9788017,1649,-3.5762689113616943;;;;;
1612198189.492467,1665,-1.3337392807006836;;;;;
1612198189.8286195,1667,-1.459104061126709;;;;;
1612198191.0630057,1673,-0.9461948275566101;;;;;
1612198194.4304302,1686,-1.780669927597046;;;;;
1612198195.2248545,1691,-1.3031153678894043;;;;;
1612198198.9353366,1706,-1.1913820505142212;;;;;
1612198198.9353366,1707,-2.4078545570373535;;;;;
1612198199.7013104,1711,-1.1418020725250244;;;;;
1612198200.168262,1713,-1.006777048110962;;;;;
1612198200.6701696,1715,-1.5574755668640137;;;;;
1612198201.7581835,1721,-3.1758360862731934;;;;;
1612198202.2534144,1723,-1.2373220920562744;;;;;
1612198202.9335866,1727,-1.161182165145874;;;;;
1612198203.933888,1731,-1.8023552894592285;;;;;
1612198206.354454,1740,-1.4072511196136475;;;;;
1612198206.7962625,1742,-1.104485034942627;;;;;
1612198208.2164433,1750,-1.1471741199493408;;;;;
1612198208.7759461,1752,-1.2594891786575317;;;;;
1612198209.3364465,1754,-1.975733995437622;;;;;
1612198209.7104487,1756,-1.7286436557769775;;;;;
1612198210.9178288,1760,-2.8347954750061035;;;;;
1612198213.1430936,1762,-1.8463377952575684;;;;;
1612198213.6088698,1764,-2.0424108505249023;;;;;
1612198214.5892277,1770,-0.9686461687088013;;;;;
1612198215.0343907,1772,-1.3034298419952393;;;;;
1612198217.4901805,1787,-1.6996138095855713;;;;;
1612198218.830728,1795,-1.2507215738296509;;;;;
1612198219.4910479,1799,-1.4147961139678955;;;;;
1612198220.2620196,1803,-1.140332579612732;;;;;
1612198221.0714412,1805,-1.0207710266113281;;;;;
1612198222.191448,1810,-1.1189143657684326;;;;;
1612198223.959723,1816,-2.448280096054077;;;;;
1612198224.4793327,1818,-1.0334324836730957;;;;;
1612198224.9250057,1820,-0.9675334692001343;;;;;
1612198226.3282578,1826,-1.4526878595352173;;;;;
1612198229.3512042,1841,-3.034562110900879;;;;;
1612198230.6078455,1845,-1.1393369436264038;;;;;
1612198232.6446629,1852,-1.1811761856079102;;;;;
1612198232.6446629,1853,-2.4516758918762207;;;;;
1612198233.8684037,1858,-2.4630815982818604;;;;;
1612198234.725962,1862,-1.0815364122390747;;;;;
1612198235.1877563,1865,-1.0653144121170044;;;;;
1612198237.0397754,1875,-1.1300568580627441;;;;;
1612198239.9288337,1887,-1.0408999919891357;;;;;
1612198240.4384723,1889,-1.1764857769012451;;;;;
1612198241.4597425,1893,-2.4373109340667725;;;;;
1612198242.597399,1897,-0.9808108806610107;;;;;
1612198244.355667,1906,-2.4455792903900146;;;;;
1612198244.9271395,1908,-3.1726980209350586;;;;;
1612198245.266237,1910,-2.481966733932495;;;;;
1612198245.7449536,1913,-0.9878827333450317;;;;;
1612198247.1931152,1919,-2.493476390838623;;;;;
1612198248.4198356,1925,-2.424863338470459;;;;;
1612198249.3233893,1929,-1.0590195655822754;;;;;
1612198251.2243366,1939,-1.1008832454681396;;;;;
1612198251.5424585,1941,-1.3540031909942627;;;;;
1612198251.9812932,1943,-1.068311095237732;;;;;
1612198254.9932961,1956,-2.4538538455963135;;;;;
1612198255.4490697,1958,-1.170516014099121;;;;;
1612198257.4636846,1969,-1.0191385746002197;;;;;
1612198259.0225554,1977,-1.1216216087341309;;;;;
1612198259.4543498,1979,-1.270918607711792;;;;;
1612198259.9428608,1981,-1.4895517826080322;;;;;
1612198264.1217222,1998,-1.0447556972503662;;;;;
1612198264.969424,2002,-1.5580837726593018;;;;;
1612198265.6476116,2007,-1.3630667924880981;;;;;
1612198268.3144836,2018,-0.9511997103691101;;;;;
1612198268.6625593,2020,-1.7715109586715698;;;;;
1612198270.1021538,2028,-1.159447193145752;;;;;
1612198271.3238702,2034,-1.5401997566223145;;;;;
1612198272.2194943,2038,-1.2778657674789429;;;;;
1612198277.1562743,2062,-2.466503381729126;;;;;
1612198277.8893154,2067,-1.2726964950561523;;;;;
1612198278.985674,2072,-1.4763213396072388;;;;;
1612198279.2689157,2074,-1.0170252323150635;;;;;
1612198279.6100051,2076,-1.11651611328125;;;;;
1612198280.352776,2081,-1.1656423807144165;;;;;
1612198280.809533,2083,-1.1018950939178467;;;;;
1612198281.148616,2085,-1.2990427017211914;;;;;
1612198287.5793405,2119,-1.0553793907165527;;;;;
1612198288.3490448,2123,-1.054567575454712;;;;;
1612198288.6352792,2125,-1.2437732219696045;;;;;
1612198289.426175,2129,-1.5732133388519287;;;;;
1612198289.7253509,2131,-1.1785354614257812;;;;;
1612198292.0028286,2143,-1.1274423599243164;;;;;
1612198292.3439157,2145,-1.4154443740844727;;;;;
1612198293.2474997,2148,-2.516974687576294;;;;;
1612198293.934398,2152,-1.2608425617218018;;;;;
1612198294.295432,2155,-2.4839746952056885;;;;;
1612198295.175081,2159,-1.029299259185791;;;;;
1612198296.2168124,2164,-1.04498291015625;;;;;
1612198296.8501196,2168,-1.2593331336975098;;;;;
1612198297.436586,2172,-1.0040196180343628;;;;;
1612198298.0144732,2176,-1.1944835186004639;;;;;
1612198298.7561798,2180,-1.3156001567840576;;;;;
1612198299.6318383,2184,-1.255573034286499;;;;;
1612198303.8309815,2202,-1.046363353729248;;;;;
1612198304.92303,2209,-2.4089839458465576;;;;;
