Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612188828.756421,888,-1.5081052780151367;;;;;
1612188829.3229253,890,-1.4095468521118164;;;;;
1612188829.8943982,892,-1.4563133716583252;;;;;
1612188830.5257103,894,-1.4285032749176025;;;;;
1612188831.6573176,898,-1.4925662279129028;;;;;
1612188832.2307801,900,-1.4286651611328125;;;;;
1612188832.814218,902,-1.3644907474517822;;;;;
1612188833.9950604,906,-1.5017266273498535;;;;;
1612188834.543218,908,-1.3651822805404663;;;;;
1612188835.079784,910,-1.591454267501831;;;;;
1612188836.1700575,914,-1.5111937522888184;;;;;
1612188837.317663,918,-1.4112887382507324;;;;;
1612188837.8701863,920,-1.433591604232788;;;;;
1612188840.159397,928,-1.469153642654419;;;;;
1612188844.2598307,942,-1.5416544675827026;;;;;
1612188846.0879965,948,-1.4117507934570312;;;;;
1612188846.67044,950,-1.4310863018035889;;;;;
1612188847.8536243,954,-1.450392484664917;;;;;
1612188849.002171,958,-1.4745471477508545;;;;;
1612188850.8093898,964,-1.3946280479431152;;;;;
1612188855.0518212,978,-1.4482088088989258;;;;;
1612188856.8884702,984,-1.563869833946228;;;;;
1612188857.4978504,986,-1.3744471073150635;;;;;
1612188859.2840238,992,-1.5482494831085205;;;;;
1612188859.9022155,994,-1.4988791942596436;;;;;
1612188860.6009429,996,-1.4068138599395752;;;;;
1612188861.7878072,1000,-1.5418437719345093;;;;;
1612188862.3762372,1002,-1.4274744987487793;;;;;
1612188862.9710283,1004,-1.403106927871704;;;;;
1612188863.653035,1006,-1.424762487411499;;;;;
1612188864.8359618,1010,-1.3550513982772827;;;;;
1612188867.863873,1020,-1.5450589656829834;;;;;
1612188868.427367,1022,-1.4061167240142822;;;;;
1612188871.931896,1034,-1.4507415294647217;;;;;
1612188873.1268005,1038,-1.3404877185821533;;;;;
1612188873.781089,1040,-1.3436675071716309;;;;;
1612188874.3640337,1042,-1.3906869888305664;;;;;
1612188874.9335682,1044,-1.4796168804168701;;;;;
1612188875.5644062,1046,-1.3901230096817017;;;;;
1612188876.1697855,1048,-1.5093495845794678;;;;;
1612188876.7701514,1050,-1.3536834716796875;;;;;
1612188877.3695705,1052,-1.4714865684509277;;;;;
1612188877.9577565,1054,-1.3264288902282715;;;;;
