Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186647.2389174,1233,-1.3037338256835938;;;;;
1612186648.0148356,1237,-1.1117799282073975;;;;;
1612186648.696021,1241,-1.2383861541748047;;;;;
1612186649.0131688,1243,-1.183255672454834;;;;;
1612186651.612958,1256,-1.614532232284546;;;;;
1612186652.861612,1262,-1.1185486316680908;;;;;
1612186654.229273,1270,-1.436536431312561;;;;;
1612186655.130847,1275,-2.4119935035705566;;;;;
1612186656.1162176,1279,-1.1016438007354736;;;;;
1612186657.1145387,1282,-2.4656147956848145;;;;;
1612186658.437004,1289,-2.869555950164795;;;;;
1612186659.5969124,1294,-0.9474725723266602;;;;;
1612186660.6181586,1300,-1.24740469455719;;;;;
1612186661.0520177,1302,-0.9661589860916138;;;;;
1612186661.3990629,1304,-1.0852540731430054;;;;;
1612186661.3990629,1305,-2.4656379222869873;;;;;
1612186664.080282,1316,-1.0721157789230347;;;;;
1612186665.674988,1325,-1.7800065279006958;;;;;
1612186666.5995712,1328,-2.42916202545166;;;;;
1612186666.9067495,1330,-0.9978271722793579;;;;;
1612186668.6722088,1338,-1.285508394241333;;;;;
1612186669.6405988,1344,-3.2200231552124023;;;;;
1612186670.0993588,1346,-1.5079233646392822;;;;;
1612186670.96208,1352,-1.0463578701019287;;;;;
1612186671.493643,1354,-1.2363433837890625;;;;;
1612186671.493643,1355,-2.506039619445801;;;;;
1612186672.1770978,1358,-1.1668665409088135;;;;;
1612186673.1943429,1362,-1.7707304954528809;;;;;
1612186674.6075897,1371,-1.1586612462997437;;;;;
1612186676.1225486,1377,-1.059740662574768;;;;;
1612186676.440665,1378,-2.4182729721069336;;;;;
1612186677.2006645,1383,-1.2275441884994507;;;;;
1612186677.6694014,1385,-1.39586341381073;;;;;
1612186678.045386,1387,-1.0414518117904663;;;;;
1612186678.9619257,1391,-1.561220645904541;;;;;
1612186679.4157243,1393,-1.192551851272583;;;;;
1612186681.6817162,1403,-2.527493476867676;;;;;
1612186683.2439797,1411,-1.1296470165252686;;;;;
1612186683.6159534,1413,-1.2057585716247559;;;;;
1612186684.693075,1417,-1.071983814239502;;;;;
1612186685.6694646,1420,-0.9325878620147705;;;;;
1612186686.3786013,1424,-1.024750828742981;;;;;
1612186686.9520376,1426,-1.0319437980651855;;;;;
1612186687.3879027,1428,-1.1068450212478638;;;;;
1612186687.9344118,1430,-1.230839729309082;;;;;
1612186688.489933,1432,-0.9815296530723572;;;;;
1612186689.8193717,1438,-1.008850336074829;;;;;
1612186690.2572029,1441,-1.0671098232269287;;;;;
1612186691.126904,1445,-1.2693085670471191;;;;;
1612186692.3436246,1450,-1.0322842597961426;;;;;
1612186693.234274,1454,-1.0313807725906372;;;;;
1612186693.234274,1455,-2.4821982383728027;;;;;
1612186693.8047254,1457,-1.4005751609802246;;;;;
1612186695.8728435,1469,-1.155205249786377;;;;;
1612186696.1514544,1471,-3.1233913898468018;;;;;
1612186697.2036235,1475,-1.1728942394256592;;;;;
1612186698.012462,1479,-2.462158679962158;;;;;
1612186699.446628,1487,-1.284848928451538;;;;;
1612186700.6404686,1493,-3.1888022422790527;;;;;
1612186701.7215471,1499,-0.9229051470756531;;;;;
1612186702.1583908,1501,-1.0382487773895264;;;;;
1612186702.7858195,1505,-3.2484042644500732;;;;;
1612186703.5608819,1509,-1.045768141746521;;;;;
1612186704.3068888,1512,-1.5353293418884277;;;;;
1612186706.174895,1522,-1.360772967338562;;;;;
1612186707.2868805,1528,-1.3378866910934448;;;;;
1612186708.1027348,1532,-1.01869535446167;;;;;
1612186714.1517656,1559,-1.212804913520813;;;;;
1612186715.5590284,1565,-0.9593900442123413;;;;;
1612186716.2421935,1568,-1.2142716646194458;;;;;
1612186716.5274484,1570,-1.2813090085983276;;;;;
1612186717.894792,1577,-1.1329553127288818;;;;;
1612186719.0267346,1581,-1.1043987274169922;;;;;
1612186719.5005047,1582,-2.5242412090301514;;;;;
1612186721.053347,1588,-1.1065177917480469;;;;;
