Wall time,Step,Value;;;;"Average Reward; Last 50 Episodes:";
1612190866.3259752,1335,-1.0850268602371216;;;;;
1612190866.6212125,1337,-1.1041271686553955;;;;;
1612190866.8954546,1339,-1.169628620147705;;;;;
1612190867.448974,1343,-1.270620584487915;;;;;
1612190868.0672631,1347,-1.2504273653030396;;;;;
1612190870.6453857,1365,-1.2652087211608887;;;;;
1612190870.941514,1367,-1.1686205863952637;;;;;
1612190871.8254354,1373,-1.1585273742675781;;;;;
1612190872.1037207,1375,-1.2748665809631348;;;;;
1612190872.3979049,1377,-1.2697482109069824;;;;;
1612190872.9644828,1381,-1.2192023992538452;;;;;
1612190873.2491302,1383,-1.0792227983474731;;;;;
1612190875.0036068,1395,-1.2403035163879395;;;;;
1612190876.140569,1403,-1.0953956842422485;;;;;
1612190876.4245758,1405,-1.1792881488800049;;;;;
1612190876.9960494,1409,-1.0712023973464966;;;;;
1612190877.5912101,1413,-1.1104837656021118;;;;;
1612190878.450912,1419,-1.1273605823516846;;;;;
1612190878.738144,1421,-1.1598656177520752;;;;;
1612190879.014406,1423,-1.1262803077697754;;;;;
1612190879.2956533,1425,-1.209101915359497;;;;;
1612190880.172479,1431,-1.1772186756134033;;;;;
1612190881.2944796,1439,-1.0549565553665161;;;;;
1612190882.1412165,1445,-1.2224494218826294;;;;;
1612190882.7376559,1449,-1.1002646684646606;;;;;
1612190883.0118902,1451,-1.1059402227401733;;;;;
1612190883.3011162,1453,-1.1958305835723877;;;;;
1612190885.0476878,1465,-1.1724815368652344;;;;;
1612190885.3219488,1467,-1.106576681137085;;;;;
1612190885.901377,1471,-1.0700781345367432;;;;;
1612190886.7431266,1477,-1.2281339168548584;;;;;
1612190887.906018,1485,-1.1596025228500366;;;;;
1612190888.739798,1491,-1.2620282173156738;;;;;
1612190889.850819,1499,-1.0436807870864868;;;;;
1612190890.9605758,1507,-1.0615540742874146;;;;;
1612190891.52071,1511,-1.1691337823867798;;;;;
1612190892.9309375,1521,-1.102696180343628;;;;;
1612190893.7846377,1527,-1.1035830974578857;;;;;
1612190899.751057,1569,-1.2247192859649658;;;;;
1612190900.2925937,1573,-1.2162436246871948;;;;;
1612190900.5597417,1575,-1.0655105113983154;;;;;
1612190901.6932635,1583,-1.1702553033828735;;;;;
1612190902.2477977,1587,-1.0442858934402466;;;;;
1612190903.3737779,1595,-1.1507859230041504;;;;;
1612190903.9253297,1599,-1.1762276887893677;;;;;
1612190904.5406518,1603,-1.1558195352554321;;;;;
1612190905.4135482,1609,-1.202820062637329;;;;;
1612190906.2348347,1615,-1.1675597429275513;;;;;
1612190907.9522517,1627,-1.0815465450286865;;;;;
1612190909.0782452,1635,-1.1739938259124756;;;;;
1612190911.0738442,1649,-1.1234945058822632;;;;;
1612190911.347115,1651,-1.1253948211669922;;;;;
1612190911.6323524,1653,-1.1823070049285889;;;;;
1612190911.9146285,1655,-1.098651647567749;;;;;
1612190913.3529956,1665,-1.216092824935913;;;;;
1612190913.9184837,1669,-1.221519112586975;;;;;
1612190914.7832036,1675,-1.0689374208450317;;;;;
1612190915.0604362,1677,-1.2744392156600952;;;;;
1612190915.3626487,1679,-1.2006664276123047;;;;;
1612190915.6398833,1681,-1.127925157546997;;;;;
1612190917.8938835,1697,-1.1762672662734985;;;;;
1612190918.1641665,1699,-1.1519010066986084;;;;;
1612190919.022867,1705,-1.1720054149627686;;;;;
1612190921.0234916,1719,-1.2610111236572266;;;;;
1612190921.8712265,1725,-1.196923017501831;;;;;
1612190924.4214096,1743,-1.2188284397125244;;;;;
1612190924.9769561,1747,-1.1750831604003906;;;;;
1612190925.2811277,1749,-1.1605186462402344;;;;;
1612190925.5653837,1751,-1.1239228248596191;;;;;
1612190926.3921669,1757,-1.1312689781188965;;;;;
1612190926.6843615,1759,-1.2508139610290527;;;;;
1612190927.8243546,1767,-1.1974574327468872;;;;;
1612190929.2814527,1777,-1.1367859840393066;;;;;
1612190929.5696533,1779,-1.258453607559204;;;;;
1612190930.7245932,1787,-1.1302411556243896;;;;;
1612190931.0078044,1789,-1.1893033981323242;;;;;
1612190931.2870584,1791,-1.2040395736694336;;;;;
1612190931.5623775,1793,-1.0329954624176025;;;;;
1612190932.3831842,1799,-1.1941817998886108;;;;;
1612190932.7142975,1801,-1.1547529697418213;;;;;
1612190933.0144951,1803,-1.0753204822540283;;;;;
1612190933.8632274,1809,-1.1682474613189697;;;;;
1612190934.1514566,1811,-1.0833545923233032;;;;;
