Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612301278.956643,1165,-1.415855050086975;;;;;
1612301278.9576647,1168,-1.5834314823150635;;;;;
1612301284.0604978,1190,-0.9601860046386719;;;;;
1612301289.3472953,1204,-1.3281465768814087;;;;;
1612301289.3472953,1206,-1.6580601930618286;;;;;
1612301289.3472953,1210,-1.1727286577224731;;;;;
1612301289.3472953,1212,-3.2726268768310547;;;;;
1612301289.3472953,1214,-1.9347866773605347;;;;;
1612301289.3482933,1216,-1.8224186897277832;;;;;
1612301294.5049212,1220,-1.6324125528335571;;;;;
1612301294.5049212,1225,-1.3143932819366455;;;;;
1612301294.505951,1233,-1.012610673904419;;;;;
1612301294.505951,1235,-1.0960187911987305;;;;;
1612301298.7905958,1242,-1.6207776069641113;;;;;
1612301298.7905958,1247,-0.9867842197418213;;;;;
1612301298.7905958,1254,-1.2586480379104614;;;;;
1612301304.0335107,1260,-0.9700570106506348;;;;;
1612301304.0335107,1262,-1.5869089365005493;;;;;
1612301304.0335107,1264,-1.5551139116287231;;;;;
1612301304.0335107,1266,-1.2144546508789062;;;;;
1612301304.0335107,1268,-1.2589850425720215;;;;;
1612301304.0335107,1272,-1.4409964084625244;;;;;
1612301304.0335107,1274,-1.5292749404907227;;;;;
1612301304.0335107,1275,-2.4335780143737793;;;;;
1612301309.3483396,1281,-1.6986403465270996;;;;;
1612301309.3483396,1283,-1.1058576107025146;;;;;
1612301309.3483396,1285,-1.6341090202331543;;;;;
1612301309.3483396,1289,-1.867035150527954;;;;;
1612301309.3483396,1293,-1.2341477870941162;;;;;
1612301309.3483396,1295,-1.8898731470108032;;;;;
1612301315.100245,1309,-1.5653917789459229;;;;;
1612301315.100245,1315,-1.4835822582244873;;;;;
1612301315.100245,1318,-2.4776017665863037;;;;;
1612301319.9808543,1321,-2.448946952819824;;;;;
1612301319.9808543,1326,-2.472727060317993;;;;;
1612301319.9808543,1329,-2.4457406997680664;;;;;
1612301319.9818513,1333,-1.9564414024353027;;;;;
1612301324.9247878,1341,-3.3162736892700195;;;;;
1612301324.9247878,1347,-2.52286434173584;;;;;
1612301324.9258034,1352,-1.3051080703735352;;;;;
1612301324.9258034,1353,-2.399871826171875;;;;;
1612301324.9258034,1355,-1.0603724718093872;;;;;
1612301324.9267824,1357,-1.6699861288070679;;;;;
1612301329.79771,1369,-1.4895795583724976;;;;;
1612301334.993401,1381,-1.9656999111175537;;;;;
1612301334.993401,1385,-1.0405192375183105;;;;;
1612301334.993401,1386,-2.5035576820373535;;;;;
1612301334.993401,1388,-1.5099186897277832;;;;;
1612301334.9943979,1392,-1.236527919769287;;;;;
1612301334.9954507,1398,-1.7382293939590454;;;;;
1612301339.416844,1400,-1.134367823600769;;;;;
1612301339.4178412,1406,-1.3403555154800415;;;;;
1612301339.4178412,1408,-1.1300426721572876;;;;;
1612301339.4178412,1410,-1.3068091869354248;;;;;
1612301339.4178412,1413,-2.4997172355651855;;;;;
1612301339.4178412,1417,-1.5563595294952393;;;;;
1612301344.509959,1429,-1.707942008972168;;;;;
1612301344.509959,1434,-1.083970546722412;;;;;
1612301344.509959,1436,-1.0807723999023438;;;;;
1612301349.1574974,1441,-2.4408092498779297;;;;;
1612301349.1574974,1442,-2.5023279190063477;;;;;
1612301349.1574974,1444,-1.3706965446472168;;;;;
1612301349.158495,1447,-2.4188334941864014;;;;;
1612301349.158495,1449,-3.032696008682251;;;;;
1612301349.160491,1459,-1.4023163318634033;;;;;
1612301353.924821,1466,-1.3257403373718262;;;;;
1612301353.924821,1467,-2.4432291984558105;;;;;
1612301353.924821,1471,-1.2631219625473022;;;;;
1612301353.9257903,1475,-1.0186787843704224;;;;;
