Wall time,Step,Value;;;;;
1612299623.8663216,1714,-1.6502766609191895;;;;;
1612299623.8672953,1721,-1.0995104312896729;;;;;
1612299623.8672953,1729,-1.2849832773208618;;;;;
1612299623.8683162,1733,-1.8472663164138794;;;;;
1612299623.8683162,1735,-1.4709784984588623;;;;;
1612299623.8692825,1742,-1.1301922798156738;;;;;
1612299623.8692825,1746,-1.2541086673736572;;;;;
1612299623.8692825,1748,-1.1640753746032715;;;;;
1612299623.8692825,1754,-1.4108068943023682;;;;;
1612299623.870311,1758,-1.2407392263412476;;;;;
1612299623.870311,1762,-3.565295457839966;;;;;
1612299623.871278,1767,-1.0481011867523193;;;;;
1612299623.871278,1771,-1.301453948020935;;;;;
1612299623.871278,1773,-1.6387085914611816;;;;;
1612299623.871278,1776,-1.0663414001464844;;;;;
1612299623.872306,1783,-2.454613208770752;;;;;
1612299623.872306,1791,-1.8175244331359863;;;;;
1612299656.0864165,1805,-1.9603283405303955;;;;;
1612299656.0864165,1807,-1.0622810125350952;;;;;
1612299656.0864165,1808,-2.4988067150115967;;;;;
1612299656.0864165,1810,-1.0844783782958984;;;;;
1612299656.0884092,1813,-2.477872371673584;;;;;
1612299656.0884092,1819,-1.2371025085449219;;;;;
1612299656.0884092,1821,-1.431185245513916;;;;;
1612299656.0884092,1823,-1.4500566720962524;;;;;
1612299656.0884092,1829,-1.7474998235702515;;;;;
1612299656.0894058,1831,-1.5810909271240234;;;;;
1612299656.0894058,1833,-1.7043516635894775;;;;;
1612299656.0894058,1835,-1.446290373802185;;;;;
1612299656.090432,1851,-1.1330773830413818;;;;;
1612299656.090432,1853,-1.8733526468276978;;;;;
1612299656.091401,1858,-2.4558310508728027;;;;;
1612299656.0923972,1871,-1.6967451572418213;;;;;
1612299656.0923972,1876,-2.4241302013397217;;;;;
1612299656.0934267,1887,-2.4016573429107666;;;;;
1612299656.0934267,1889,-1.016523003578186;;;;;
1612299656.0934267,1891,-1.5292730331420898;;;;;
1612299656.0944264,1895,-1.6972205638885498;;;;;
1612299656.0944264,1897,-1.3443074226379395;;;;;
1612299656.0944264,1899,-1.7370102405548096;;;;;
1612299656.0953891,1904,-1.7158803939819336;;;;;
1612299656.0953891,1906,-1.6485939025878906;;;;;
1612299656.0953891,1910,-1.954182744026184;;;;;
1612299656.0953891,1914,-1.5477492809295654;;;;;
1612299656.0953891,1916,-1.8607103824615479;;;;;
1612299688.7830222,1924,-1.6347730159759521;;;;;
1612299688.7830222,1925,-2.4775333404541016;;;;;
1612299688.7830222,1933,-1.5894196033477783;;;;;
1612299688.7830222,1935,-1.3614165782928467;;;;;
1612299688.7830222,1937,-1.542683720588684;;;;;
1612299688.7840512,1939,-1.940256953239441;;;;;
1612299688.785017,1944,-1.923318862915039;;;;;
1612299688.785017,1946,-1.0226078033447266;;;;;
1612299688.785017,1948,-1.1715443134307861;;;;;
1612299688.785017,1954,-1.230527639389038;;;;;
1612299688.785017,1956,-1.4105753898620605;;;;;
1612299688.7870204,1971,-1.8374930620193481;;;;;
1612299688.789007,1978,-1.0620933771133423;;;;;
1612299688.789007,1982,-1.6694295406341553;;;;;
1612299688.789007,1986,-1.3618412017822266;;;;;
1612299688.789007,1988,-0.9537312984466553;;;;;
1612299688.789007,1994,-1.0988948345184326;;;;;
1612299688.7910018,1996,-1.0866405963897705;;;;;
1612299688.7920032,1999,-1.6820766925811768;;;;;
1612299688.7920032,2001,-1.3010234832763672;;;;;
1612299688.7920032,2003,-1.0145399570465088;;;;;
1612299688.7920032,2005,-1.6670039892196655;;;;;
1612299688.7920032,2011,-1.3126822710037231;;;;;
1612299688.7929964,2024,-1.5770819187164307;;;;;
1612299688.7940197,2027,-2.4081029891967773;;;;;
1612299688.7940197,2031,-1.023604393005371;;;;;
1612299688.7949903,2035,-1.0034347772598267;;;;;
1612299688.7949903,2037,-1.0808179378509521;;;;;
1612299688.7949903,2043,-1.2015585899353027;;;;;
1612299688.7949903,2047,-1.5650222301483154;;;;;
1612299722.166075,2049,-3.0438947677612305;;;;;
1612299722.166075,2051,-1.7104544639587402;;;;;
1612299722.166075,2061,-1.1607471704483032;;;;;
1612299722.1680715,2073,-1.3997890949249268;;;;;
1612299722.1680715,2074,-2.4508447647094727;;;;;
1612299722.1680715,2078,-2.550723075866699;;;;;
1612299722.1680715,2082,-0.9746818542480469;;;;;
1612299722.169069,2092,-2.502884864807129;;;;;
1612299722.169069,2094,-1.515886902809143;;;;;
1612299722.169069,2098,-1.9063451290130615;;;;;
1612299722.1700668,2102,-1.489004135131836;;;;;
1612299722.1700668,2110,-1.7431048154830933;;;;;
1612299722.1700668,2117,-1.2383925914764404;;;;;
1612299722.1710632,2121,-1.8284680843353271;;;;;
1612299722.172043,2130,-1.8997960090637207;;;;;
1612299722.172043,2132,-1.3486915826797485;;;;;
1612299722.172043,2134,-1.7409307956695557;;;;;
1612299722.1730258,2146,-2.404303789138794;;;;;
1612299722.1730258,2148,-1.7360925674438477;;;;;
1612299722.174053,2158,-2.44728946685791;;;;;
1612299722.1750214,2166,-1.433872938156128;;;;;
1612299722.1750214,2168,-1.0157427787780762;;;;;
1612299722.1750214,2170,-1.1391890048980713;;;;;
1612299753.7958195,2186,-1.8614543676376343;;;;;
1612299753.7958195,2190,-1.5078094005584717;;;;;
1612299753.796816,2196,-1.5174565315246582;;;;;
1612299753.7978144,2203,-1.7738678455352783;;;;;
1612299753.7978144,2207,-1.6061296463012695;;;;;
1612299753.7978144,2208,-2.4489359855651855;;;;;
1612299753.7988114,2215,-1.7675056457519531;;;;;
1612299753.7988114,2217,-1.7582694292068481;;;;;
1612299753.7988114,2221,-1.0765056610107422;;;;;
1612299753.7988114,2223,-3.117621421813965;;;;;
1612299753.7988114,2225,-1.1708670854568481;;;;;
1612299753.8008058,2231,-1.1902351379394531;;;;;
1612299753.8008058,2233,-1.5778855085372925;;;;;
1612299753.8018034,2250,-1.5289733409881592;;;;;
1612299753.8018034,2254,-1.6969722509384155;;;;;
1612299753.8028312,2256,-1.8164501190185547;;;;;
1612299753.8028312,2262,-1.3206257820129395;;;;;
1612299753.8028312,2264,-1.0966328382492065;;;;;
1612299753.8028312,2266,-3.104210615158081;;;;;
1612299753.8037968,2272,-1.246647834777832;;;;;
1612299753.8037968,2274,-1.2239391803741455;;;;;
1612299753.8037968,2276,-1.9337186813354492;;;;;
1612299784.4404957,2305,-3.30987548828125;;;;;
1612299784.4414835,2311,-1.118633508682251;;;;;
1612299784.4414835,2315,-1.1228721141815186;;;;;
1612299784.4414835,2317,-1.209075927734375;;;;;
1612299784.4414835,2321,-1.048831820487976;;;;;
1612299784.4414835,2323,-1.4477741718292236;;;;;
1612299784.4425058,2329,-1.2912447452545166;;;;;
1612299784.4425058,2333,-2.4606058597564697;;;;;
1612299784.4425058,2335,-3.06931209564209;;;;;
1612299784.4425058,2337,-1.0705010890960693;;;;;
1612299784.443477,2339,-1.3199002742767334;;;;;
1612299784.443477,2343,-1.529090404510498;;;;;
1612299784.4444747,2347,-0.9636112451553345;;;;;
1612299784.4444747,2350,-2.4683120250701904;;;;;
1612299784.4444747,2354,-2.5108699798583984;;;;;
1612299784.4444747,2358,-1.117345929145813;;;;;
1612299784.4454708,2361,-2.502614974975586;;;;;
1612299784.4464693,2364,-2.477632522583008;;;;;
1612299784.4464693,2368,-1.0586168766021729;;;;;
1612299784.4464693,2370,-1.4571009874343872;;;;;
1612299784.4464693,2371,-2.7456910610198975;;;;;
1612299784.4474974,2388,-1.3111016750335693;;;;;
1612299784.4491725,2395,-1.0200538635253906;;;;;
1612299784.4491725,2403,-1.620556354522705;;;;;
1612299784.4491725,2404,-2.5576999187469482;;;;;
1612299784.4491725,2406,-1.307115077972412;;;;;
1612299784.4491725,2410,-3.4127614498138428;;;;;
1612299784.4502017,2416,-1.9115397930145264;;;;;
1612299784.4502017,2422,-1.1027727127075195;;;;;
1612299784.4502017,2426,-1.4383389949798584;;;;;
1612299819.008276,2432,-1.1079237461090088;;;;;
1612299819.008276,2436,-1.5629427433013916;;;;;
1612299819.008276,2440,-2.5749149322509766;;;;;
1612299819.008276,2444,-1.1117503643035889;;;;;
1612299819.0102708,2447,-2.4162890911102295;;;;;
1612299819.0102708,2449,-1.1800786256790161;;;;;
1612299819.0102708,2454,-1.0469589233398438;;;;;
1612299819.0102708,2456,-1.6218178272247314;;;;;
1612299819.0102708,2458,-1.6230888366699219;;;;;
1612299819.0102708,2464,-1.6376051902770996;;;;;
1612299819.0122664,2473,-1.4160181283950806;;;;;
1612299819.0122664,2478,-1.0280218124389648;;;;;
1612299819.0133288,2488,-1.6426585912704468;;;;;
1612299819.0133288,2492,-1.100527048110962;;;;;
1612299819.0140705,2504,-1.6907470226287842;;;;;
1612299819.0140705,2511,-1.5168917179107666;;;;;
1612299819.0151005,2513,-1.0186415910720825;;;;;
1612299819.0151005,2514,-2.4353575706481934;;;;;
1612299819.0151005,2516,-1.4410758018493652;;;;;
1612299819.0151005,2520,-3.0439863204956055;;;;;
1612299819.0160675,2526,-1.787158489227295;;;;;
1612299819.0160675,2528,-1.86052405834198;;;;;
1612299819.0160675,2532,-3.0582895278930664;;;;;
1612299819.0160675,2534,-1.2103631496429443;;;;;
1612299819.0180624,2546,-2.3857667446136475;;;;;
1612299819.0180624,2550,-1.5191943645477295;;;;;
1612299819.0180624,2556,-1.543281078338623;;;;;
1612299819.0180624,2557,-2.469613552093506;;;;;
1612299850.4853163,2563,-1.6426448822021484;;;;;
1612299850.4853163,2565,-1.5332717895507812;;;;;
1612299850.4853163,2574,-1.953094244003296;;;;;
1612299850.4853163,2576,-1.1988837718963623;;;;;
1612299850.4853163,2578,-1.0280125141143799;;;;;
1612299850.4863458,2584,-1.1398277282714844;;;;;
1612299850.4863458,2588,-1.383955478668213;;;;;
1612299850.4863458,2590,-1.9699561595916748;;;;;
1612299850.4863458,2592,-1.228278636932373;;;;;
1612299850.4863458,2594,-1.4792898893356323;;;;;
1612299850.4873123,2596,-1.6662921905517578;;;;;
1612299850.4873123,2598,-1.4305212497711182;;;;;
1612299850.4883099,2609,-1.4411944150924683;;;;;
1612299850.4893055,2618,-2.458446979522705;;;;;
1612299850.4893055,2620,-1.122649908065796;;;;;
1612299850.4893055,2622,-1.5262024402618408;;;;;
1612299850.4903045,2631,-1.5633330345153809;;;;;
1612299850.4913018,2639,-1.3967785835266113;;;;;
1612299850.4913018,2643,-1.0351696014404297;;;;;
1612299850.4913018,2645,-1.200491189956665;;;;;
1612299850.4913018,2653,-1.3352209329605103;;;;;
1612299850.4923275,2661,-1.9301084280014038;;;;;
1612299850.4932969,2674,-1.9144737720489502;;;;;
1612299850.4943244,2677,-1.6854283809661865;;;;;
1612299850.4943244,2682,-2.787609338760376;;;;;
1612299850.4943244,2686,-1.7535390853881836;;;;;
1612299884.4759977,2688,-3.4433367252349854;;;;;
1612299884.477028,2694,-1.213753581047058;;;;;
1612299884.477028,2696,-3.097247362136841;;;;;
1612299884.477028,2700,-1.6433067321777344;;;;;
1612299884.477028,2702,-1.9938220977783203;;;;;
1612299884.4780242,2707,-1.3140223026275635;;;;;
1612299884.4800217,2739,-1.9902372360229492;;;;;
1612299884.4800217,2741,-1.5032994747161865;;;;;
1612299884.4800217,2743,-1.40352201461792;;;;;
1612299884.4810166,2745,-1.6793036460876465;;;;;
1612299884.4810166,2753,-1.1419460773468018;;;;;
1612299884.4810166,2759,-1.597604751586914;;;;;
1612299884.4829812,2767,-1.7649602890014648;;;;;
1612299884.4829812,2769,-1.8231632709503174;;;;;
1612299884.4829812,2771,-1.3508691787719727;;;;;
1612299884.4839778,2779,-1.319265604019165;;;;;
1612299884.4839778,2781,-1.818376064300537;;;;;
1612299884.4839778,2783,-1.7248008251190186;;;;;
1612299884.485972,2787,-1.7186611890792847;;;;;
1612299884.485972,2790,-1.3390555381774902;;;;;
1612299884.485972,2794,-1.730433464050293;;;;;
1612299884.485972,2798,-2.1118173599243164;;;;;
1612299884.4870002,2812,-2.8129961490631104;;;;;
1612299917.1872025,2821,-2.8184123039245605;;;;;
1612299917.1872025,2823,-1.6360065937042236;;;;;
1612299917.1891959,2840,-1.8126989603042603;;;;;
1612299917.1891959,2842,-1.7763967514038086;;;;;
1612299917.1902246,2862,-1.8747249841690063;;;;;
1612299917.191192,2870,-1.9007668495178223;;;;;
1612299917.1912405,2872,-1.7031757831573486;;;;;
1612299917.1912405,2877,-1.2678427696228027;;;;;
1612299917.1912405,2879,-1.395102620124817;;;;;
1612299917.1922653,2885,-1.4614641666412354;;;;;
1612299917.1922653,2889,-1.2311017513275146;;;;;
1612299917.193239,2891,-1.2309091091156006;;;;;
1612299917.193239,2892,-2.3975696563720703;;;;;
1612299917.193239,2906,-1.3285319805145264;;;;;
1612299917.193239,2908,-1.5380349159240723;;;;;
