Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612270363.9403028,1430,-1.2793713808059692;;;;;
1612270365.0796506,1436,-0.9441609978675842;;;;;
1612270365.5793042,1438,-1.1300718784332275;;;;;
1612270366.295365,1441,-1.095052719116211;;;;;
1612270366.9646037,1444,-1.0368056297302246;;;;;
1612270367.5998785,1447,-1.0544874668121338;;;;;
1612270367.90207,1448,-2.47021222114563;;;;;
1612270368.295079,1450,-3.098710060119629;;;;;
1612270368.295079,1451,-2.4381346702575684;;;;;
1612270368.7278984,1453,-1.5557656288146973;;;;;
1612270370.2171106,1459,-1.2470817565917969;;;;;
1612270370.9013498,1462,-1.0827522277832031;;;;;
1612270371.418956,1465,-1.3337962627410889;;;;;
1612270372.058245,1469,-1.0432991981506348;;;;;
1612270373.0187109,1472,-2.4056737422943115;;;;;
1612270373.3418477,1474,-1.4754748344421387;;;;;
1612270373.8265507,1476,-1.5603314638137817;;;;;
1612270375.6039953,1487,-2.42547345161438;;;;;
1612270376.0747077,1489,-1.1734931468963623;;;;;
1612270377.1598327,1492,-2.4320170879364014;;;;;
1612270378.566571,1498,-1.4596810340881348;;;;;
1612270380.367755,1506,-1.0340434312820435;;;;;
1612270381.5161705,1511,-1.132989525794983;;;;;
1612270382.6421514,1517,-1.9164905548095703;;;;;
1612270383.093943,1519,-1.060753345489502;;;;;
1612270384.078372,1522,-2.4182889461517334;;;;;
1612270384.9909325,1526,-1.0267980098724365;;;;;
1612270385.3709414,1529,-1.8561501502990723;;;;;
1612270387.4144595,1539,-1.0758460760116577;;;;;
1612270388.7598708,1545,-1.147798776626587;;;;;
1612270389.7552989,1549,-1.7276793718338013;;;;;
1612270395.9851058,1574,-1.1861953735351562;;;;;
1612270397.089155,1580,-1.141936182975769;;;;;
1612270397.7055387,1584,-1.1932491064071655;;;;;
1612270397.9937375,1586,-1.2533202171325684;;;;;
1612270399.5326235,1594,-1.2779395580291748;;;;;
1612270399.9435496,1597,-1.593738079071045;;;;;
1612270401.5332778,1605,-1.210481882095337;;;;;
1612270402.470773,1609,-1.3074951171875;;;;;
1612270403.0482264,1612,-1.1332534551620483;;;;;
1612270404.2521133,1618,-1.806990623474121;;;;;
1612270404.6880164,1621,-1.6864356994628906;;;;;
1612270404.9782403,1623,-1.1480772495269775;;;;;
1612270406.102592,1626,-2.545139789581299;;;;;
1612270407.2353735,1633,-2.421151876449585;;;;;
1612270408.5306873,1641,-1.0443809032440186;;;;;
1612270411.2835276,1653,-2.4486634731292725;;;;;
1612270411.7937372,1655,-1.6115515232086182;;;;;
1612270412.1497824,1657,-1.6547551155090332;;;;;
1612270412.8119822,1659,-1.337802767753601;;;;;
1612270413.866759,1662,-1.0433176755905151;;;;;
1612270414.5086987,1666,-1.3836920261383057;;;;;
1612270414.9055073,1668,-3.1677603721618652;;;;;
1612270414.9055073,1669,-2.5044748783111572;;;;;
1612270416.0288773,1675,-1.6073098182678223;;;;;
1612270416.3819375,1677,-1.29994535446167;;;;;
1612270416.7878327,1679,-1.2876572608947754;;;;;
1612270417.1578553,1681,-1.6478681564331055;;;;;
1612270420.198867,1695,-2.443521022796631;;;;;
1612270420.5559363,1697,-1.489389181137085;;;;;
1612270421.843514,1702,-2.421312093734741;;;;;
1612270424.4127138,1715,-1.6546427011489868;;;;;
1612270425.6625366,1721,-1.636548638343811;;;;;
1612270428.7221208,1736,-1.0778372287750244;;;;;
1612270429.1437545,1738,-1.1976990699768066;;;;;
1612270429.8837776,1742,-1.5289934873580933;;;;;
1612270430.3188477,1744,-1.582573652267456;;;;;
1612270430.8744495,1746,-1.5913162231445312;;;;;
1612270432.1220722,1752,-1.1350629329681396;;;;;
1612270432.4182887,1754,-1.2097082138061523;;;;;
1612270433.1536424,1758,-1.5921261310577393;;;;;
1612270433.8417993,1762,-1.3479821681976318;;;;;
1612270435.4580245,1770,-0.9205912947654724;;;;;
1612270435.772227,1772,-1.0873661041259766;;;;;
1612270437.139622,1780,-1.0911333560943604;;;;;
1612270437.139622,1781,-2.5556929111480713;;;;;
1612270437.8072782,1783,-1.0713624954223633;;;;;
1612270438.0765352,1784,-2.5045440196990967;;;;;
1612270439.083326,1789,-1.1101486682891846;;;;;
